date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag,evi
4/1/2023,2023,91,22,goodwaterbau_2023_04_01_115305.jpg,124.78112,107.53932,78.13625,0.34639,0.40193,117.37325,4.61566,103.66416,2.27311,78.14973,5.3078,0.34649,0.00097,0.3463,0.34747,0.34791,0.3924,0.01526,0.40151,0.40443,0.40518,55.34555,NA,0,0,0,0,0.34539,0.34533,0.34626,0.34673,0.39825,0.40206,0.40731,0.41267,0.00198,0.00206,0.00222,0.00255,0.01062,0.01097,0.0111,0.01138,NA,0.138587214
4/2/2023,2023,92,22,goodwaterbau_2023_04_02_115305.jpg,122.43398,103.97629,74.5835,0.34544,0.40677,124.73355,4.12043,106.51777,3.60207,77.41702,3.44594,0.34508,0.00072,0.34511,0.34556,0.34606,0.40415,0.00595,0.40532,0.40714,0.40812,55.72467,NA,0,0,0,0,0.3468,0.34674,0.34772,0.34818,0.39699,0.4007,0.40557,0.41035,0.0019,0.00198,0.00213,0.00245,0.0102,0.01053,0.01066,0.01093,NA,0.134813866
4/3/2023,2023,93,22,goodwaterbau_2023_04_03_115306.jpg,134.67514,114.80534,82.29309,0.34604,0.40592,122.62071,8.19138,105.8344,4.90916,77.45072,4.5872,0.34599,0.00075,0.34599,0.34649,0.34667,0.40063,0.01413,0.40055,0.40763,0.41433,56.10207,NA,0,0,0,0,0.34863,0.34858,0.34959,0.35004,0.39533,0.39892,0.4032,0.40705,0.00183,0.0019,0.00206,0.00236,0.00982,0.01014,0.01026,0.01052,NA,0.131402501
4/4/2023,2023,94,22,goodwaterbau_2023_04_04_115306.jpg,124.93148,108.79817,78.68623,0.34825,0.39989,120.47988,7.46895,106.89402,4.43815,79.55597,4.7627,0.34829,0.00279,0.34781,0.34998,0.35071,0.39236,0.01321,0.3987,0.40059,0.40379,56.47768,NA,0,0,0,0,0.35054,0.35049,0.35152,0.35195,0.39412,0.39755,0.40123,0.40411,0.0019,0.00198,0.00213,0.00245,0.0102,0.01053,0.01066,0.01093,NA,0.128353118
4/5/2023,2023,95,22,goodwaterbau_2023_04_05_115305.jpg,118.9595,107.37396,78.0212,0.35279,0.39086,113.52396,5.34818,104.10985,3.19959,77.06988,4.48852,0.35327,0.00099,0.35322,0.35406,0.35433,0.3852,0.01305,0.38884,0.39541,0.39629,56.8517,NA,0,0,0,0,0.35219,0.35214,0.35317,0.35361,0.39419,0.39745,0.40071,0.40289,0.00198,0.00206,0.00222,0.00255,0.01062,0.01097,0.0111,0.01138,NA,0.125665718
4/6/2023,2023,96,22,goodwaterbau_2023_04_06_115306.jpg,121.12087,107.92528,75.57662,0.35429,0.39761,120.66071,6.56283,108.69586,4.05246,78.2641,2.95354,0.35334,0.00125,0.3535,0.35436,0.35473,0.39204,0.00969,0.3958,0.39769,0.40003,57.22348,NA,0,0,0,0,0.35405,0.35399,0.355,0.35544,0.39591,0.3989,0.40195,0.40374,0.00191,0.00199,0.00214,0.00246,0.01024,0.01057,0.0107,0.01097,NA,0.1233403
4/7/2023,2023,97,22,goodwaterbau_2023_04_07_115305.jpg,128.35238,114.61428,79.3173,0.35563,0.39826,127.63984,5.13109,113.40622,4.31674,77.72614,3.53628,0.35576,0.00116,0.35559,0.35675,0.35754,0.40042,0.00601,0.40116,0.40305,0.40511,57.59289,NA,0,0,0,0,0.35615,0.35609,0.35705,0.3575,0.3986,0.40127,0.40417,0.40568,0.00191,0.00199,0.00214,0.00246,0.01024,0.01057,0.0107,0.01097,NA,0.121376865
4/8/2023,2023,98,22,goodwaterbau_2023_04_08_115306.jpg,125.92848,111.85478,73.65868,0.35915,0.40434,125.70493,4.5904,112.14993,3.77637,74.2994,3.78623,0.35931,0.00112,0.3593,0.36044,0.36071,0.40274,0.00573,0.40462,0.40529,0.40611,57.96048,NA,0,0,0,0,0.35749,0.35742,0.35834,0.35884,0.40156,0.40395,0.40672,0.40809,0.00198,0.00206,0.00222,0.00255,0.01062,0.01097,0.0111,0.01138,NA,0.119775413
4/9/2023,2023,99,22,goodwaterbau_2023_04_09_115305.jpg,130.31761,114.81166,74.59159,0.3591,0.4076,129.76816,5.96214,115.15815,4.54326,75.15738,3.55942,0.35981,0.00095,0.36009,0.3605,0.36088,0.40538,0.00572,0.40613,0.40847,0.41034,58.32622,NA,0,0,0,0,0.35815,0.35802,0.35898,0.35957,0.40606,0.40824,0.41087,0.41225,0.00193,0.00201,0.00217,0.0025,0.01038,0.01072,0.01085,0.01112,NA,0.118535943
4/10/2023,2023,100,22,goodwaterbau_2023_04_10_115305.jpg,128.23691,114.50789,75.36431,0.35996,0.40312,127.89893,8.55645,114.43722,4.68288,75.36251,5.47066,0.36025,0.00126,0.36009,0.361,0.36148,0.4024,0.01642,0.40856,0.41476,0.41575,58.689,NA,0,0,0,0,0.35837,0.35818,0.35917,0.35986,0.41078,0.41277,0.41529,0.41676,0.00198,0.00206,0.00222,0.00255,0.01062,0.01097,0.0111,0.01138,NA,0.117658456
