date,hls_date,gcc_mean,evi,source_file
8/29/2023,8/29/2023,0.39991,0.95209223,arsltarucbec1_2023
8/30/2023,8/30/2023,0.39946,0.951845586,arsltarucbec1_2023
8/28/2023,8/28/2023,0.40268,0.950344563,arsltarucbec1_2023
8/31/2023,8/31/2023,0.39718,0.94960165,arsltarucbec1_2023
8/27/2023,8/27/2023,0.40344,0.946642995,arsltarucbec1_2023
9/1/2023,9/1/2023,0.39635,0.945975542,arsltarucbec1_2023
9/2/2023,9/2/2023,0.39784,0.94111073,arsltarucbec1_2023
8/26/2023,8/26/2023,0.40857,0.941038966,arsltarucbec1_2023
8/25/2023,8/25/2023,0.40973,0.936705232,arsltarucbec1_2023
9/3/2023,9/3/2023,0.39889,0.935167313,arsltarucbec1_2023
9/1/2023,9/1/2023,0.39066,0.929576099,arsope3ltar_2023
8/24/2023,8/24/2023,0.41244,0.929489672,arsltarucbec1_2023
8/31/2023,8/31/2023,0.38882,0.929312527,arsope3ltar_2023
8/30/2023,8/30/2023,0.39871,0.928119183,arsope3ltar_2023
9/2/2023,9/2/2023,0.3903,0.927914917,arsope3ltar_2023
9/4/2023,9/4/2023,0.40073,0.927740753,arsltarucbec1_2023
9/3/2023,9/3/2023,0.39479,0.926775277,arsope3ltar_2023
8/29/2023,8/29/2023,0.40059,0.926038861,arsope3ltar_2023
8/28/2023,8/28/2023,0.39831,0.923120797,arsope3ltar_2023
8/27/2023,8/27/2023,0.39986,0.919928193,arsope3ltar_2023
8/23/2023,8/23/2023,0.41088,0.919779301,arsltarucbec1_2023
9/5/2023,9/5/2023,0.39827,0.919141233,arsltarucbec1_2023
8/14/2023,8/14/2023,0.41364,0.917966485,ecb1_2023
8/26/2023,8/26/2023,0.39907,0.915484786,arsope3ltar_2023
8/13/2023,8/13/2023,0.42116,0.914597511,ecb1_2023
8/16/2022,8/16/2022,0.40686,0.913524032,arsbrooks10_2022
8/17/2022,8/17/2022,0.40902,0.913136303,arsbrooks10_2022
8/18/2022,8/18/2022,0.4083,0.912567735,arsbrooks10_2022
8/15/2022,8/15/2022,0.41013,0.912349701,arsbrooks10_2022
8/19/2022,8/19/2022,0.41173,0.911785424,arsbrooks10_2022
8/25/2023,8/25/2023,0.40075,0.910328507,arsope3ltar_2023
8/14/2022,8/14/2022,0.4108,0.910325408,arsbrooks10_2022
8/12/2023,8/12/2023,0.41768,0.910206914,ecb1_2023
8/20/2022,8/20/2022,0.40129,0.909867883,arsbrooks10_2022
9/6/2023,9/6/2023,0.39764,0.909534574,arsltarucbec1_2023
8/22/2023,8/22/2023,0.41027,0.907955229,arsltarucbec1_2023
8/21/2022,8/21/2022,0.39878,0.907693565,arsbrooks10_2022
8/13/2022,8/13/2022,0.41726,0.906715214,arsbrooks10_2022
8/11/2023,8/11/2023,0.41963,0.904829681,ecb1_2023
8/24/2023,8/24/2023,0.40348,0.904519081,arsope3ltar_2023
8/22/2022,8/22/2022,0.40529,0.90414989,arsbrooks10_2022
8/12/2022,8/12/2022,0.41057,0.902957797,arsbrooks10_2022
8/23/2022,8/23/2022,0.40814,0.900109649,arsbrooks10_2022
9/7/2023,9/7/2023,0.40108,0.899084508,arsltarucbec1_2023
8/10/2023,8/10/2023,0.42282,0.898495436,ecb1_2023
8/11/2022,8/11/2022,0.41194,0.898374736,mead1_2022
