dates, phenocam,hls,hls original,station,crop,state,tile,ano
D1,20220426,20220521,20220525,arkansascornsoy ,Corn,Arkansas,15SXU,2022
D1,20230530,20230606,20230609,arkansascornsoy ,Corn,Arkansas,15SXU,2023
D1,20210525,20210605,20210607,arsbrooks10 ,Corn,IOWA,15TVG,2021
D1,20220624,20220704,20220707,arsbrooks10 ,Soybeans,IOWA,15TVG,2022
D1,20230526,20230603,20230606,arsbrooks10 ,Corn,IOWA,15TVG,2023
D1,20210605,20210612,20210616,arscolesnorth,Corn,IOWA,15TVH,2021
D1,20220629,20220709,20220707,arscolesnorth,Soybeans,IOWA,15TVH,2022
D1,20230602,20230603,20230608,arscolesnorth,Corn,IOWA,15TVH,2023
D1,20210601,20210612,20210614,arsltarmdcr,Corn,Maryland,18SVJ,2021
D1,20220621,20220624,20220628,arsltarmdcr,Soybeans,Maryland,18SVJ,2022
D1,20230527,20230613,20230616,arsltarmdcr,Corn,Maryland,18SVJ,2023
D1,20210619,20210608,20210625,arsltarucbec1,Corn,Pennsyvania,17TQF,2021
D1,20220603,20220617,20220601,arsltarucbec1,Corn,Pennsyvania,17TQF,2022
D1,20230620,20230602,20230612,arsltarucbec1,Soybeans,Pennsyvania,17TQF,2023
D1,20210615,20210628,20210629,arsmorris1,Soybeans,Minnesota,14TQR,2021
D1,20220628,20220713,20220715,arsmorris1,Soybeans,Minnesota,14TQR,2022
D1,20230530,20230614,20230614,arsmorris1,Corn,Minnesota,14TQR,2023
D1,20210531,20210614,20210614,arsmorris3,Soybeans,Minnesota,14TQR,2021
D1,20220612,20220622,20220715,arsmorris3,Corn,Minnesota,14TQR,2022
D1,20230603,20230626,20230614,arsmorris3,Soybeans,Minnesota,14TQR,2023
D1,20210610,20210702,20210704,arsope3ltar,Soybeans,Maryland,18SUJ,2021
D1,20220531,20220618,20220615,arsope3ltar,Corn,Maryland,18SUJ,2022
D1,20230701,20230726,20230726,arsope3ltar,Soybeans,Maryland,18SUJ,2023
D1,20210521,20210602,20210603,bouldincorn,Corn,California,10SFH,2021
D1,20220528,20220608,20220611,bouldincorn,Corn,California,10SFH,2022
D1,20230601,20230618,20230621,bouldincorn,Corn,California,10SFH,2023
D1,20220601,20220529,20220607,ecb1,Corn,Indiana,16TFM,2022
D1,20230616,20230706,20230625,ecb1,Soybeans,Indiana,16TFM,2023
D1,20220422,20220612,20220619,ecb2,Corn,Indiana,16TFM,2022
D1,20230618,20230707,20230629,ecb2,Soybeans,Indiana,16TFM,2023
D1,20220707,20220716,20220713,ecb4,Soybeans,Ohio,17TLF,2022
D1,20230626,20230714,20230717,ecb4,Soybeans,Ohio,17TLF,2023
D1,20230701,20230720,20230721,goodwater,Soybeans,Missouri,15SWD,2023
D1,20210615,20210705,20210706,goodwaterbau,Soybeans,Missouri,15SWD,2021
D1,20220624,20220704,20220705,goodwaterbau,Soybeans,Missouri,15SWD,2022
D1,20230508,20230522,20230526,goodwaterbau,Corn,Missouri,15SWD,2023
D1,20220530,20220609,20220615,mandani2,Soybeans,North Dakota,14TLS,2021
D1,20230611,20230622,20230620,mandani2,Corn,North Dakota,14TLS,2023
D1,20210526,20210604,20210610,mead1,Corn,Nebraska,14TQL,2021
D1,20220605,20220625,20220628,mead1,Soybeans,Nebraska,14TQL,2022
D1,20230522,20230601,20230604,mead1,Corn,Nebraska,14TQL,2023
D1,20230526,20230602,20230604,mead2 ,Corn,Nebraska,14TQL,2023
D1,20210529,20210605,20210608,mead3 ,Corn,Nebraska,14TQL,2021
D1,20220615,20220624,20220624,mead3 ,Soybeans,Nebraska,14TQL,2022
D1,20230528,20230605,20230607,mead3 ,Corn,Nebraska,14TQL,2023
D1,20220530,20220606,20220610,NEON.D06.KONA.DP1.00033    ,Corn,Kansas,14SQJ,2022
D1,20230618,20230627,20230629,NEON.D06.KONA.DP1.00033    ,Soybeans,Kansas,14SQJ,2023
D1,20210530,20210609,20210612,uiefmaize,Corn,Ilinois,16TCK,2021
D1,20220523,20220612,20220614,uiefmaize,Soybeans,Ilinois,16TCK,2022
D1,20230519,20230529,20230601,uiefmaize,Corn,Ilinois,16TCK,2023
Di,20220504,20220531,20220601,arkansascornsoy ,Corn,Arkansas,15SXU,2022
Di,20230606,20230616,20230612,arkansascornsoy ,Corn,Arkansas,15SXU,2023
Di,20210604,20210617,20210617,arsbrooks10 ,Corn,IOWA,15TVG,2021
Di,20220702,20220716,20220716,arsbrooks10 ,Soybeans,IOWA,15TVG,2022
Di,20230604,20230614,20230614,arsbrooks10 ,Corn,IOWA,15TVG,2023
Di,20210615,20210622,20210622,arscolesnorth,Corn,IOWA,15TVH,2021
Di,20220710,20220724,20220723,arscolesnorth,Soybeans,IOWA,15TVH,2022
Di,20230610,20230614,20230615,arscolesnorth,Corn,IOWA,15TVH,2023
Di,20210607,20210617,20210620,arsltarmdcr,Corn,Maryland,18SVJ,2021
Di,20220702,20220718,20220718,arsltarmdcr,Soybeans,Maryland,18SVJ,2022
Di,20230604,20230626,20230627,arsltarmdcr,Corn,Maryland,18SVJ,2023
Di,20210630,20210623,20210629,arsltarucbec1,Corn,Pennsyvania,17TQF,2021
Di,20220611,20220624,20220612,arsltarucbec1,Corn,Pennsyvania,17TQF,2022
Di,20230629,20230613,20230629,arsltarucbec1,Soybeans,Pennsyvania,17TQF,2023
Di,20210628,20210720,20210718,arsmorris1,Soybeans,Minnesota,14TQR,2021
Di,20220714,20220726,20220727,arsmorris1,Soybeans,Minnesota,14TQR,2022
Di,20230608,20230623,20230623,arsmorris1,Corn,Minnesota,14TQR,2023
Di,20210609,20210701,20210630,arsmorris3,Soybeans,Minnesota,14TQR,2021
Di,20220619,20220630,20220727,arsmorris3,Corn,Minnesota,14TQR,2022
Di,20230613,20230721,20230623,arsmorris3,Soybeans,Minnesota,14TQR,2023
Di,20210625,20210711,20210711,arsope3ltar,Soybeans,Maryland,18SUJ,2021
Di,20220616,20220705,20220716,arsope3ltar,Corn,Maryland,18SUJ,2022
Di,20230708,20230803,20230802,arsope3ltar,Soybeans,Maryland,18SUJ,2023
Di,20210528,20210613,20210614,bouldincorn,Corn,California,10SFH,2021
Di,20220607,20220621,20220620,bouldincorn,Corn,California,10SFH,2022
Di,20230609,20230702,20230702,bouldincorn,Corn,California,10SFH,2023
Di,20220614,20220710,20220717,ecb1,Corn,Indiana,16TFM,2022
Di,20230625,20230717,20230714,ecb1,Soybeans,Indiana,16TFM,2023
Di,20220522,20220625,20220630,ecb2,Corn,Indiana,16TFM,2022
Di,20230627,20230719,20230724,ecb2,Soybeans,Indiana,16TFM,2023
Di,20220716,20220725,20220722,ecb4,Soybeans,Ohio,17TLF,2022
Di,20230704,20230725,20230731,ecb4,Soybeans,Ohio,17TLF,2023
Di,20230715,20230801,20230731,goodwater,Soybeans,Missouri,15SWD,2023
Di,20210625,20210722,20210722,goodwaterbau,Soybeans,Missouri,15SWD,2021
Di,20220703,20220715,20220717,goodwaterbau,Soybeans,Missouri,15SWD,2022
Di,20230520,20230605,20230605,goodwaterbau,Corn,Missouri,15SWD,2023
Di,20220606,20220621,20220621,mandani2,Soybeans,North Dakota,14TLS,2021
Di,20230620,20230709,20230710,mandani2,Corn,North Dakota,14TLS,2023
Di,20210603,20210615,20210617,mead1,Corn,Nebraska,14TQL,2021
Di,20220613,20220708,20220710,mead1,Soybeans,Nebraska,14TQL,2022
Di,20230530,20230612,20230613,mead1,Corn,Nebraska,14TQL,2023
Di,20230602,20230613,20230614,mead2 ,Corn,Nebraska,14TQL,2023
Di,20210606,20210617,20210618,mead3 ,Corn,Nebraska,14TQL,2021
Di,20220623,20220709,20220707,mead3 ,Soybeans,Nebraska,14TQL,2022
Di,20230606,20230619,20230619,mead3 ,Corn,Nebraska,14TQL,2023
Di,20220608,20220628,20220619,NEON.D06.KONA.DP1.00033    ,Corn,Kansas,14SQJ,2022
Di,20230627,20230714,20230712,NEON.D06.KONA.DP1.00033    ,Soybeans,Kansas,14SQJ,2023
