Phenocam,Crop,State,Tile,Ano,Planting Phenocam,Emergence phenocam,D1 Phenocam,D1 HLS,D1 original HLS,Di Phenocam,Di HLS,Di original HLS,D2 Phenocam,D2 HLS,D2 original HLS,D3 Phenocam,D3 HLS,D3 original HLS, Dd Phenocam,Dd HLS,Dd original HLS, D4 Phenocam,D4 HLS,D4 original HLS,harvest Phenocam
arkansascornsoy ,Corn,Arkansas,15SXU,2022,20220405,20220427,20220426,20220521,20220525,20220504,20220531,20220601,20220512,20220609,20220608,20220616,20220801,20220805,20220704,20220812,20220812,20220723,20220823,20220818,20220827
arkansascornsoy ,Corn,Arkansas,15SXU,2023,20230523,20230601,20230530,20230606,20230609,20230606,20230616,20230612,20230614,20230626,20230615,20230722,20230813,20230818,20230809,20230907,20230914,20230828,20231002,20231010,20230923
arsbrooks10 ,Corn,IOWA,15TVG,2021,20210415,20210503,20210525,20210605,20210607,20210604,20210617,20210617,20210613,20210629,20210627,20210813,20210825,20210829,20210828,20210907,20210909,20210912,20210920,20210920,20211011
arsbrooks10 ,Soybeans,IOWA,15TVG,2022,20220602,20220623,20220624,20220704,20220707,20220702,20220716,20220716,20220711,20220727,20220724,20220911,20220909,20220911,20220920,20220921,20220921,20220929,20221002,20221001,20221009
arsbrooks10 ,Corn,IOWA,15TVG,2023,20230429,20230513,20230526,20230603,20230606,20230604,20230614,20230614,20230612,20230625,20230622,20230815,20230904,20230908,20230831,20230916,20230916,20230916,20230928,20230925,20231011
arscolesnorth,Corn,IOWA,15TVH,2021,20210402,20210508,20210605,20210612,20210616,20210615,20210622,20210622,20210624,20210701,20210629,20210819,20210907,20210911,20210904,20210918,20210919,20210919,20210929,20210928,20211019
arscolesnorth,Soybeans,IOWA,15TVH,2022,20220601,20220613,20220629,20220709,20220707,20220710,20220724,20220723,20220722,20220808,20220808,20220914,20220911,20220913,20220921,20220922,20220923,20220928,20221003,20221003,20221013
arscolesnorth,Corn,IOWA,15TVH,2023,20230505,20230523,20230602,20230603,20230608,20230610,20230614,20230615,20230619,20230624,20230622,20230824,20230830,20230902,20230905,20230915,20230916,20230917,20231001,20230929,20231010
arsltarmdcr,Corn,Maryland,18SVJ,2021,20210501,20210520,20210601,20210612,20210614,20210607,20210617,20210620,20210612,20210622,20210626,20210811,20210824,20210823,20210823,20210903,20210902,20210904,20210913,20210911,20210830
arsltarmdcr,Soybeans,Maryland,18SVJ,2022,20220523,20220612,20220621,20220624,20220628,20220702,20220718,20220718,20220713,20220811,20220807,20220914,20220910,20220914,20220922,20220923,20220923,20220929,20221006,20221003,20231103
arsltarmdcr,Corn,Maryland,18SVJ,2023,20230426,20230517,20230527,20230613,20230616,20230604,20230626,20230627,20230611,20230709,20230709,20230807,20230828,20230903,20230821,20230904,20230911,20230903,20230912,20230918,20231022
arsltarucbec1,Corn,Pennsyvania,17TQF,2021,20210516,20210607,20210619,20210608,20210625,20210630,20210623,20210629,20210711,20210708,20210702,20211010,20210928,20211005,20211019,20211016,20211017,20211028,20211103,20211028,20211116
