date,doy,EVI
2023-04-01,91,0.30293977
2023-04-02,92,0.28103364
2023-04-03,93,0.29931676
2023-04-04,94,0.3286288
2023-04-05,95,0.32902312
2023-04-06,96,0.3628996
2023-04-07,97,0.36571267
2023-04-08,98,0.32455623
2023-04-09,99,0.3142854
2023-04-10,100,0.31734675
2023-04-11,101,0.310415
2023-04-12,102,0.27121305
2023-04-13,103,0.26588503
2023-04-14,104,0.2806335
2023-04-15,105,0.26472265
2023-04-16,106,0.25916725
2023-04-17,107,0.20555013
2023-04-18,108,0.192342
2023-04-19,109,0.2252354
2023-04-20,110,0.19104531
2023-04-21,111,0.18287602
2023-04-22,112,0.18294103
2023-04-23,113,0.17548916
2023-04-24,114,0.17922315
2023-04-25,115,0.17126167
2023-04-26,116,0.16783555
2023-04-27,117,0.16917868
2023-04-28,118,0.16817494
2023-04-29,119,0.16083229
2023-04-30,120,0.18964489
2023-05-01,121,0.19156216
2023-05-02,122,0.1600602
2023-05-03,123,0.16429657
2023-05-04,124,0.16944374
2023-05-05,125,0.1664327
2023-05-06,126,0.16929677
2023-05-07,127,0.16354978
2023-05-08,128,0.18874519
2023-05-09,129,0.19802773
2023-05-10,130,0.174917
2023-05-11,131,0.18591154
2023-05-12,132,0.16455713
2023-05-13,133,0.16842629
2023-05-14,134,0.19644353
2023-05-15,135,0.19672753
2023-05-16,136,0.19973335
2023-05-17,137,0.20799842
2023-05-18,138,0.21866311
2023-05-19,139,0.22512186
2023-05-20,140,0.23467913
2023-05-21,141,0.24489221
2023-05-22,142,0.24968052
2023-05-23,143,0.2537838
2023-05-24,144,0.2957878
2023-05-25,145,0.30513895
2023-05-26,146,0.29062006
2023-05-27,147,0.30127585
2023-05-28,148,0.31057864
2023-05-29,149,0.32831076
2023-05-30,150,0.33917856
2023-05-31,151,0.3488515
2023-06-01,152,0.37254965
2023-06-02,153,0.3834586
2023-06-03,154,0.3857559
2023-06-04,155,0.37898418
2023-06-05,156,0.39022878
2023-06-06,157,0.42208803
2023-06-07,158,0.43005937
2023-06-08,159,0.44089234
2023-06-09,160,0.45455104
2023-06-10,161,0.46773016
2023-06-11,162,0.4874469
2023-06-12,163,0.50022966
2023-06-13,164,0.5067986
2023-06-14,165,0.5152283
2023-06-15,166,0.5279346
2023-06-16,167,0.5505229
2023-06-17,168,0.564769
2023-06-18,169,0.5788752
2023-06-19,170,0.59508824
2023-06-20,171,0.6075178
2023-06-21,172,0.6198889
2023-06-22,173,0.63334966
2023-06-23,174,0.64475137
2023-06-24,175,0.66435695
2023-06-25,176,0.68871486
2023-06-26,177,0.69496584
2023-06-27,178,0.6916939
2023-06-28,179,0.6966002
2023-06-29,180,0.70493925
2023-06-30,181,0.7104844
2023-07-01,182,0.7146396
2023-07-02,183,0.7164899
2023-07-03,184,0.72746265
2023-07-04,185,0.72785753
2023-07-05,186,0.7188301
2023-07-06,187,0.71977425
2023-07-07,188,0.7176042
2023-07-08,189,0.7169586
2023-07-09,190,0.7001006
2023-07-10,191,0.6962253
2023-07-11,192,0.70670086
2023-07-12,193,0.7015122
2023-07-13,194,0.7033757
2023-07-14,195,0.6663265
2023-07-15,196,0.6622335
2023-07-16,197,0.691108
2023-07-17,198,0.6820397
2023-07-18,199,0.6765596
2023-07-19,200,0.6869769
2023-07-20,201,0.6846537
2023-07-21,202,0.6700362
2023-07-22,203,0.67069453
2023-07-23,204,0.667657
2023-07-24,205,0.66535753
2023-07-25,206,0.66152656
2023-07-26,207,0.65863335
2023-07-27,208,0.6625316
2023-07-28,209,0.6567695
2023-07-29,210,0.653793
2023-07-30,211,0.6489781
2023-07-31,212,0.6363354
2023-08-01,213,0.63293326
2023-08-02,214,0.6281917
2023-08-03,215,0.6224442
2023-08-04,216,0.62221265
2023-08-05,217,0.59500957
2023-08-06,218,0.59061736
